,Explainability,Subthemes
review_99,No,New Classifiers/Techniques & Cross-Project Defect Prediction & Visualisations & Social Metrics & Additional Data & Cost Metrics
review_100,Yes,Commercial Projects & Study Replication & Data Filtering & Cost vs Performance & Data Pre-Processing & New Classifiers/Techniques
review_101,Yes,Commercial Projects & Different Granularity & Different Domains & Evaluation With Developers
review_102,No,Data More Information & Text Features & Code Metrics & Process Metrics & Feature Selection/Representation & Text Mining & Performance Factors
review_103,Yes,Different Domains & Generalisability & Commercial Projects & Parameter Tuning & Cross-Project Defect Prediction
review_104,No,Study Replication & Additional Data & Ensemble Learning & Method-Level Defect Prediction
review_105,Yes,Data Different Programming Languages & Generalisability & Test Case Prioritisation/Selection & New Classifiers/Techniques
review_106,No,Cross-Project Defect Prediction & Additional Data
review_107,Yes,Commercial Projects & Generalisability & Data Quality & Performance Improvement/Optimisation
review_108,Yes,Commercial Projects & Semi/Unsupervised Learning & Neural Networks & SVM & Text Mining
review_109,Yes,Text Mining
review_110,Yes,Additional Data & New Classifiers/Techniques & Different Validation Techniques
review_111,No,Parameter Tuning & Additional Data & Commercial Projects & Open Source Data & Ensemble Learning
review_112,Yes,Cross-Project Defect Prediction & Commercial Projects & Open Source Data & Ensemble Learning & Data Pre-Processing & Cost vs Performance
review_113,No,Generalisability & Additional Data & More Software Metrics & Study Replication & Open-Source Projects & Commercial Projects & Effort-Aware Defect Prediction
review_114,No,Additional Data & Parameter Tuning & Commercial Projects & Sampling Methods
review_115,Yes,Commercial Projects & Additional Data & Effort-Aware Defect Prediction & New Performance Measures
review_116,No,Additional Data & Extending Defect Prediction Applications & Generalisability & Data Different Programming Languages 
review_117,No,Test Case Prioritisation & Extending Defect Prediction Applications
review_118,No,Data Different Programming Languages & Process Metrics & Performance Factors
review_119,No,Study Replication & More Software Metrics & Parallel Techniques & Generalisability & Semi/Unsupervised Learning & New Classifiers/Techniques & Sampling Methods & New Performance Measures & Effort-Aware Defect Prediction
review_120,No,More Software Metrics & Cross-Project Defect Prediction & Class/Data Imbalance & Measurement Metrics & Genetic Algorithms & Sampling Methods & New Performance Measures
review_121,Yes,Additional Data & New Classifiers/Techniques
review_122,No,Feature Selection/Representation & Data Pre-Processing
review_123,Yes,Additional Data & Commercial Projects & Ensemble Learning & Cross-Project Defect Prediction & Performance Factors & Evaluation With Developers & More Explainable/Actionable Predictions & Different Granularity & Visualisations & Study Replication
review_124,Yes,Additional Data & Commercial Projects & Variable Importance & Open Source Projects & Commercial Projects
review_125,Yes,Additional Data & New Classifiers/Techniques
review_126,No,Commercial Projects & Semi/Unsupervised Learning & Generalisability & Open-Source Projects & Multi-Objective Optimisation & Feature Selection/Representation & Empirical Study & Performance Improvement/Optimisation & Performance Factors
review_127,Yes,Data Filtering & Just-In-Time Defect Prediction & Data Different Programming Languages
review_128,No,Additional Data & Generalisability & Study Replication & Data Filtering & Different Domains & Performance Factors
review_129,Yes,Intelligent Algorithms & Parameter Tuning
review_130,No,Study Replication & Generalisability & Quality Metrics & Sampling Methods
review_131,No,More Software Metrics & Semi/Unsupervised Learning & Data Different Programming Languages & Cross-Project Defect Prediction
review_132,Yes,Data/Class Imbalance & Mobile Apps Data
